EmployeeId,FirstName,LastName,Email,HomeBranchId,Department,JobTitle,EmploymentDate,IsActive
1001,Sibusiso,Molepo,sibusiso.molepo1001@example.com,1,IT,Systems Administrator,2019-06-28,True
1002,Katlego,Mofokeng,katlego.mofokeng1002@example.com,1,IT,Systems Administrator,2021-09-02,True
1003,Lerato,Mkhize,lerato.mkhize1003@example.com,1,IT,Business Analyst,2025-07-25,True
1004,Neo,Molepo,neo.molepo1004@example.com,1,HR,HR Administrator,2020-03-22,True
1005,Katlego,Ndlovu,katlego.ndlovu1005@example.com,1,Finance,Finance Officer,2021-06-01,True
1006,Zanele,Mofokeng,zanele.mofokeng1006@example.com,1,Customer Service,Support Agent,2019-07-05,True
1007,Tebogo,Mokoena,tebogo.mokoena1007@example.com,1,Operations,Operations Officer,2019-06-05,True
1008,Tumelo,Mkhize,tumelo.mkhize1008@example.com,1,Sales,Sales Administrator,2023-12-07,True
1009,Tumelo,Mofokeng,tumelo.mofokeng1009@example.com,1,Finance,Financial Analyst,2021-03-25,True
1010,Tebogo,Mkhize,tebogo.mkhize1010@example.com,1,Operations,Operations Analyst,2025-07-19,True
1011,Siyabonga,Msimang,siyabonga.msimang1011@example.com,1,Sales,Business Development Officer,2022-01-27,True
1012,Bongani,Mokoena,bongani.mokoena1012@example.com,1,IT,Support Technician,2020-02-29,True
1013,Katlego,Nkosi,katlego.nkosi1013@example.com,1,Operations,Team Leader,2026-02-25,True
1014,Naledi,Mkhize,naledi.mkhize1014@example.com,1,Operations,Coordinator,2022-02-16,True
1015,Nandi,Mokoena,nandi.mokoena1015@example.com,1,IT,Business Analyst,2021-12-03,True
1016,Nomsa,Mkhize,nomsa.mkhize1016@example.com,1,HR,HR Administrator,2020-01-03,True
1017,Zanele,Msimang,zanele.msimang1017@example.com,1,Finance,Financial Analyst,2024-04-09,True
1018,Boitumelo,Motaung,boitumelo.motaung1018@example.com,1,IT,Systems Administrator,2019-03-30,True
1019,Tumelo,Mkhwanazi,tumelo.mkhwanazi1019@example.com,1,HR,HR Administrator,2025-02-14,True
1020,Andile,Mkhize,andile.mkhize1020@example.com,1,Customer Service,Customer Success Officer,2021-03-07,True
1021,Nomsa,Msimang,nomsa.msimang1021@example.com,1,Customer Service,Support Agent,2024-11-23,True
1022,Thabo,Msimang,thabo.msimang1022@example.com,1,Customer Service,Team Leader,2024-04-29,True
1023,Lethabo,Mhlongo,lethabo.mhlongo1023@example.com,1,Customer Service,Team Leader,2018-03-05,True
1024,Neo,Mabaso,neo.mabaso1024@example.com,1,Customer Service,Customer Service Agent,2020-01-20,True
1025,Karabo,Khumalo,karabo.khumalo1025@example.com,1,Customer Service,Support Agent,2024-08-14,True
1026,Palesa,Mkhize,palesa.mkhize1026@example.com,1,Finance,Payroll Administrator,2021-05-22,True
1027,Refilwe,Ndlovu,refilwe.ndlovu1027@example.com,1,Customer Service,Customer Service Agent,2025-08-19,True
1028,Tshepo,Zulu,tshepo.zulu1028@example.com,1,IT,Support Technician,2019-12-26,True
1029,Andile,Mkhize,andile.mkhize1029@example.com,1,HR,Learning Coordinator,2024-05-02,True
1030,Keitumetse,Mkhwanazi,keitumetse.mkhwanazi1030@example.com,1,Finance,Payroll Administrator,2023-11-28,True
1031,Tumelo,Mthembu,tumelo.mthembu1031@example.com,1,IT,Support Technician,2023-12-07,True
1032,Nomsa,Khumalo,nomsa.khumalo1032@example.com,1,IT,Software Developer,2022-04-25,False
1033,Refilwe,Radebe,refilwe.radebe1033@example.com,1,HR,Learning Coordinator,2020-03-18,True
1034,Refilwe,Molefe,refilwe.molefe1034@example.com,1,IT,Systems Administrator,2024-10-27,True
1035,Palesa,Molepo,palesa.molepo1035@example.com,1,IT,Systems Administrator,2022-01-24,True
1036,Thabo,Molepo,thabo.molepo1036@example.com,1,HR,Learning Coordinator,2020-01-24,True
